Sr. Number,Gender,Education_Level_Simplified,Job Title,Age_simplified,Age,Years_of_Experience_CLEARED,Years_of_Experience,Salary_cleared,Salary,Country,Race,Seniority,Education_Level
1,Male,1,Software Engineer,Early Career,32,Junior Level,5,Medium Salary,90000,UK,White,0,Bachelor's
2,Female,2,Data Analyst,Early Career,28,Junior Level,3,Medium Salary,65000,USA,Hispanic,0,Master's
3,Male,3,Manager,Senior Professionals,45,Senior Level,15,High Salary,150000,Canada,White,1,PhD
4,Female,1,Sales Associate,Young Professionals,36,Mid Level,7,Medium Salary,60000,USA,Hispanic,0,Bachelor's
5,Male,2,Director,Senior Professionals,52,Lead Level,20,Very High Salary,200000,USA,Asian,0,Master's
6,Male,1,Marketing Analyst,Early Career,29,Fresher,2,Medium Salary,55000,USA,Hispanic,0,Bachelor's
7,Female,2,Product Manager,Young Professionals,42,Senior Level,12,High Salary,120000,USA,Asian,0,Master's
8,Male,1,Sales Manager,Early Career,31,Junior Level,4,Medium Salary,80000,China,Korean,0,Bachelor's
9,Female,1,Marketing Coordinator,Early Career,26,Fresher,1,Low Salary,45000,China,Chinese,0,Bachelor's
10,Male,3,Scientist,Young Professionals,38,Mid Level,10,High Salary,110000,Australia,Australian,1,PhD
11,Male,2,Software Developer,Early Career,29,Junior Level,3,Medium Salary,75000,UK,Welsh,0,Master's
12,Female,1,HR Manager,Senior Professionals,48,Lead Level,18,High Salary,140000,UK,Asian,0,Bachelor's
13,Male,1,Financial Analyst,Young Professionals,35,Mid Level,6,Medium Salary,65000,China,Korean,0,Bachelor's
14,Female,2,Project Manager,Young Professionals,40,Senior Level,14,High Salary,130000,USA,African American,0,Master's
15,Male,1,Customer Service Rep,Early Career,27,Fresher,2,Low Salary,40000,Canada,Asian,0,Bachelor's
16,Male,1,Operations Manager,Young Professionals,44,Lead Level,16,High Salary,125000,China,Chinese,0,Bachelor's
17,Female,2,Marketing Manager,Early Career,33,Mid Level,7,Medium Salary,90000,USA,Asian,0,Master's
18,Male,3,Engineer,Young Professionals,39,Senior Level,12,High Salary,115000,UK,Mixed,1,PhD
19,Female,1,Data Entry Clerk,Early Career,25,Fresher,0,Low Salary,35000,UK,Asian,0,Bachelor's
20,Male,1,Sales Director,Senior Professionals,51,Expert Level,22,Very High Salary,180000,Australia,Asian,0,Bachelor's
21,Female,2,Business Analyst,Early Career,34,Junior Level,5,Medium Salary,80000,China,Korean,0,Master's
22,Male,2,VP of Operations,Senior Professionals,47,Lead Level,19,Very High Salary,190000,UK,White,0,Master's
23,Male,1,IT Support,Early Career,30,Fresher,2,Invalid,50000,UK,Asian,0,Bachelor's
24,Female,1,Recruiter,Young Professionals,36,Mid Level,9,Medium Salary,60000,China,White,0,Bachelor's
25,Male,2,Financial Manager,Young Professionals,41,Senior Level,13,High Salary,140000,USA,African American,0,Master's
